,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
513,Grupo Gualajo ,<built-in function id>,https://open.spotify.com/artist/42t0Mr9pUqBLsEUw0wi3nE,776,['folclor afrocolombiano'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273589d3a47e715624c6e321e44', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02589d3a47e715624c6e321e44', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851589d3a47e715624c6e321e44', 'width': 64}]",4,Grupo Gualajo,<class 'type'>,simus,514
514,Tuna Navarra,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,515
515,KIMBARA ORQUESTA,<built-in function id>,https://open.spotify.com/artist/6luKyeMFcIXC5TQnrwleZj,23,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735da71fc23bd343a865cb9947', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025da71fc23bd343a865cb9947', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515da71fc23bd343a865cb9947', 'width': 64}]",0,Kimbara Orquesta,<class 'type'>,simus,516
516,Oh'laville,<built-in function id>,https://open.spotify.com/artist/5uDxyttOUh6KJic2MFbwQ7,13731,['colombian rock'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb318bcf81d2de93d805c4d83c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174318bcf81d2de93d805c4d83c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178318bcf81d2de93d805c4d83c', 'width': 160}]",33,Oh'laville,<class 'type'>,simus,517
517,Montaña,<built-in function id>,https://open.spotify.com/artist/74dMZMvy8P27oPqnprnvBb,683761,"['chicago drill', 'chicago rap', 'drill', 'trap']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb6798144c4bcbdc0611a4f2e2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051746798144c4bcbdc0611a4f2e2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1786798144c4bcbdc0611a4f2e2', 'width': 160}]",54,Montana of 300,<class 'type'>,simus,518
518,CUARTETO DE CLARINETES DE BOGOTÁ,<built-in function id>,https://open.spotify.com/artist/1kAyxvYq7lpu0fwUPTaoH0,10,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eeb1d70fb94d9342b8851454', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02eeb1d70fb94d9342b8851454', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851eeb1d70fb94d9342b8851454', 'width': 64}]",0,Cuarteto de Clarinetes de Bogotá,<class 'type'>,simus,519
519,Quinteto Leopoldo Federico,<built-in function id>,https://open.spotify.com/artist/1ajFGcQSG3p9kPXmXAUHc0,567,['musica andina colombiana'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735e86bc89e5873d1d72e2ea16', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025e86bc89e5873d1d72e2ea16', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515e86bc89e5873d1d72e2ea16', 'width': 64}]",8,Quinteto Leopoldo Federico,<class 'type'>,simus,520
520,Huari,<built-in function id>,https://open.spotify.com/artist/1fQ46lgoUCz8FVXdTVNk0a,239436,"['deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5e20f8944010fef19da1fa59', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745e20f8944010fef19da1fa59', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785e20f8944010fef19da1fa59', 'width': 160}]",46,Hurricane Chris,<class 'type'>,simus,521
521,APHANGAK,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,522
522,Ra La Culebra,<built-in function id>,https://open.spotify.com/artist/1mTHqIdrMZ8UlwFI3CD2EY,174,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf07df0c35d3f006552f0b6b3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f07df0c35d3f006552f0b6b3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f07df0c35d3f006552f0b6b3', 'width': 160}]",0,RA LA CULEBRA,<class 'type'>,simus,523
523,Cumbia Caribe ,<built-in function id>,https://open.spotify.com/artist/5mQ9SEBYsWkJz4k8KBkkOY,310,[],[],11,Cumbia Caribe,<class 'type'>,simus,524
524,La Mambanegra,<built-in function id>,https://open.spotify.com/artist/1TCrJDPaqtcTkAEcSl0kBZ,6904,['folclor afrocolombiano'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19e949ca1ac3ea86d4379f67', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419e949ca1ac3ea86d4379f67', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819e949ca1ac3ea86d4379f67', 'width': 160}]",30,La Mambanegra,<class 'type'>,simus,525
525,Orquesta de Cuerdas Pulsadas de Santander,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,526
526,TARMAC,<built-in function id>,https://open.spotify.com/artist/3UEgrR1Pe0TLgbjW8W7Ahg,602,['reggae en espanol'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27308748e41ff7a5b710eb3120b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0208748e41ff7a5b710eb3120b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485108748e41ff7a5b710eb3120b', 'width': 64}]",17,Tarmac,<class 'type'>,simus,527
527,Magistrado Tocineta,<built-in function id>,https://open.spotify.com/artist/5TEVym3RItlFj6W6DsIQ3H,32,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739704b1ec4acc17b9bd24d392', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029704b1ec4acc17b9bd24d392', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519704b1ec4acc17b9bd24d392', 'width': 64}]",0,Magistrado Tocineta,<class 'type'>,simus,528
528,ZALAMA CREW,<built-in function id>,https://open.spotify.com/artist/7u7QF5UODXg2mYJqymE570,1308,['colombian hip hop'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebecb4660104f728215b082411', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ecb4660104f728215b082411', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ecb4660104f728215b082411', 'width': 160}]",15,Zalama Crew,<class 'type'>,simus,529
529,Romperayo,<built-in function id>,https://open.spotify.com/artist/1Ey12Gi2P3PNPBsz39cncu,3887,['latin afrobeat'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb387c52598124ac8b3f562d95', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174387c52598124ac8b3f562d95', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178387c52598124ac8b3f562d95', 'width': 160}]",22,Romperayo,<class 'type'>,simus,530
530,CBB & The Roosters,<built-in function id>,https://open.spotify.com/artist/361kbrgqAsu0xQZc4oAYHP,87,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3880f8106a4759b2cba2992a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743880f8106a4759b2cba2992a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783880f8106a4759b2cba2992a', 'width': 160}]",0,CBB & the Roosters,<class 'type'>,simus,531
531,Harawí,<built-in function id>,https://open.spotify.com/artist/58KBq6qkQnfWYRqCjffQQq,66705,"['atmospheric black metal', 'austrian black metal', 'austrian metal', 'blackgaze', 'post-black metal']","[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd60ae457d01dc147579dfcaf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d60ae457d01dc147579dfcaf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d60ae457d01dc147579dfcaf', 'width': 160}]",42,Harakiri for the Sky,<class 'type'>,simus,532
532,Arrabalero,<built-in function id>,https://open.spotify.com/artist/51gZ0KnXKT356BUJihiQCj,1800,['colombian indie'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb390548dae3c5ec25f955f636', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174390548dae3c5ec25f955f636', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178390548dae3c5ec25f955f636', 'width': 160}]",19,Arrabalero,<class 'type'>,simus,533
