,name,lugar_extraido
237,Hendrix B,bomm
238,HerejÍa,bomm
239,Invernadero,bomm
240,Iusef,bomm
241,Jack N' Grass,bomm
242,Jahia Uncan,bomm
243,Jaison Neutra,bomm
244,Jet Lag,bomm
245,Jet-set-maní,bomm
246,Job Saas & The Heartbeat,bomm
247,Juan Astonauta,bomm
248,Juancho Gutiérrez,bomm
249,Julio Victoria,bomm
250,Kalido Time,bomm
251,Keke Minowa,bomm
252,Kexxy Pardo,bomm
253,Kid Fresco,bomm
254,KoKodrilo,bomm
255,Kombilesa Mí,bomm
256,Kora Karuna,bomm
257,La Beat Machine,bomm
258,La Chiva Gantiva,bomm
259,La Mano De Parisi,bomm
260,La Matilda,bomm
261,La Muchacha Isabel,bomm
262,La Puttanesca,bomm
263,La Real Del Sonido,bomm
264,La Severa Matacera,bomm
265,La Sociedad De La Sombrilla,bomm
266,La Sonora Mazurén,bomm
267,La-33,bomm
268,,bomm
269,Lalo Ebratt,bomm
270,Latenaz,bomm
271,Laura Pérez,bomm
272,Laura Román,bomm
273,Le Big Sur,bomm
274,Lee Eye,bomm
275,León Giraldo,bomm
