artist_id,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0EmeFodog0BfCgMzAIvKQp,5QSBmhDBqeMyNY3xC2Sy9J,37,0.492,0.745,6,-4.005,1,0.0359,0.0987,8.2e-06,0.84,0.203,92.109,215520,4
0EmeFodog0BfCgMzAIvKQp,4EDfdYJ7mqXRoWAqzF1PVO,64,0.717,0.952,6,-4.902,1,0.0481,0.15,0.0,0.166,0.665,126.993,235733,4
0EmeFodog0BfCgMzAIvKQp,6QAr8cDN1WdkfMm07b5lnf,34,0.866,0.583,5,-4.783,0,0.0545,0.0359,0.0,0.0833,0.422,99.982,197173,4
0EmeFodog0BfCgMzAIvKQp,0sXvAOmXgjR2QUqLK1MltU,59,0.736,0.964,0,-2.147,1,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707,4
0EmeFodog0BfCgMzAIvKQp,5AonODRtmQmjT4ldVh9fIm,31,0.224,0.512,4,-7.946,1,0.0344,0.947,0.118,0.75,0.0972,104.004,155027,4
0EmeFodog0BfCgMzAIvKQp,1qMyx63EUV5ykLX1mprawp,37,0.475,0.916,7,-2.629,1,0.048,0.312,0.0,0.881,0.313,118.997,203733,4
0EmeFodog0BfCgMzAIvKQp,1wa0pdphTi9qtdWE1Uy71a,37,0.603,0.984,10,-3.389,0,0.0956,0.053,0.000296,0.767,0.273,99.969,414293,4
0EmeFodog0BfCgMzAIvKQp,7lAD6W07EfSkEs9nHENFi5,29,0.51,0.71,6,-4.39,1,0.0589,0.657,0.0,0.0496,0.298,124.006,208040,5
0EmeFodog0BfCgMzAIvKQp,080gSRai7pWpGO8WsWk1Ww,37,0.628,0.613,1,-8.584,1,0.038,0.0402,0.000414,0.114,0.362,125.008,262467,4
0EmeFodog0BfCgMzAIvKQp,1BKWd4e3KmnWtvD6wM8znP,14,0.426,0.0158,4,-19.916,1,0.0541,0.93,0.0,0.166,0.235,99.842,147354,4
0EmeFodog0BfCgMzAIvKQp,4aP8f6t0ckBQoJcNYJOfFg,25,0.374,0.634,8,-7.857,1,0.0348,0.2,2.05e-06,0.793,0.178,143.947,226960,4
0EmeFodog0BfCgMzAIvKQp,1YIoEGlYIrlir1FOdWmSe8,0,0.765,0.847,1,-4.745,0,0.0329,0.176,0.0,0.26,0.907,108.982,194733,4
0EmeFodog0BfCgMzAIvKQp,440J3KMKH6PwPFDMrxOZEL,10,0.71,0.13,9,-21.357,0,0.0428,0.921,0.842,0.0998,0.537,111.666,62493,3
0EmeFodog0BfCgMzAIvKQp,5I2VapAoss9eQHmuwXfoMt,41,0.726,0.974,6,-5.323,1,0.0527,0.199,1.49e-05,0.158,0.719,127.052,236867,4
0EmeFodog0BfCgMzAIvKQp,5VD3oQilL00HfIEW6ICSQq,50,0.771,0.225,7,-10.274,1,0.047,0.943,0.000141,0.271,0.267,129.907,191587,4
0EmeFodog0BfCgMzAIvKQp,656yISUj1xcGthQHLC3iT5,0,0.764,0.512,7,-8.329,0,0.0274,0.285,5.49e-05,0.341,0.393,113.016,286933,4
0EmeFodog0BfCgMzAIvKQp,78dbqYDvx6FOefROApu9w0,70,0.595,0.461,6,-7.786,1,0.0641,0.269,0.000149,0.123,0.338,91.976,192867,4
0EmeFodog0BfCgMzAIvKQp,2nSd3kBslXIbBAdrmqvKM6,56,0.629,0.773,9,-6.035,1,0.0272,0.0166,1.5e-05,0.196,0.524,121.941,193067,4
0EmeFodog0BfCgMzAIvKQp,6IIvQrGLkX6ZEABLPqyi7C,0,0.609,0.898,11,-5.308,0,0.0517,0.0165,1.33e-05,0.03,0.651,179.347,222867,4
0EmeFodog0BfCgMzAIvKQp,2vfnIGgulgn1yl0DXJIYqn,62,0.83,0.697,3,-6.129,0,0.056,0.169,0.0124,0.106,0.509,120.976,206281,4
0EmeFodog0BfCgMzAIvKQp,6AoGe1Zp6WNpPTvNC6Ehca,36,0.869,0.709,5,-5.069,0,0.0897,0.507,0.0,0.0741,0.599,137.957,227333,4
0EmeFodog0BfCgMzAIvKQp,6IkZCUzTNVdBpIixdippHA,34,0.539,0.645,8,-4.728,1,0.0368,0.0495,0.0,0.121,0.506,162.01,192133,4
0EmeFodog0BfCgMzAIvKQp,6biR1gMwcN71SDt3Eh4eEu,0,0.624,0.592,8,-5.279,1,0.036,0.653,0.0,0.106,0.398,165.54,224427,4
0EmeFodog0BfCgMzAIvKQp,1GBe2Gnd29NfbbHfn30xPM,39,0.533,0.74,6,-5.419,0,0.0418,0.31,0.000195,0.702,0.0907,148.076,286920,3
0EmeFodog0BfCgMzAIvKQp,30XvfCUPHSK2rzxmPlJGFf,60,0.852,0.703,7,-7.557,1,0.0443,0.371,0.0486,0.0774,0.778,121.997,188760,4
0EmeFodog0BfCgMzAIvKQp,4ZY1MKm7pbC2v19Lj02SSR,34,0.618,0.893,9,-2.847,0,0.11,0.0446,4.87e-06,0.0984,0.434,144.008,245067,4
0EmeFodog0BfCgMzAIvKQp,1oPLyFw5WfO4uAGhEesNfN,10,0.654,0.393,0,-16.707,1,0.0455,0.158,0.952,0.298,0.0333,90.875,45976,4
0EmeFodog0BfCgMzAIvKQp,6ICckSBTxWzYxLKJUa8rJg,34,0.608,0.926,11,-3.27,0,0.0439,0.00459,0.000803,0.952,0.631,124.952,258813,4
0EmeFodog0BfCgMzAIvKQp,6YDBAZHIcOEo1rSrcca7rJ,37,0.621,0.686,1,-4.662,0,0.0611,0.139,0.0,0.245,0.444,83.469,225427,4
0EmeFodog0BfCgMzAIvKQp,5OFXf8H0bDWShkj4bbLDpZ,22,0.803,0.807,2,-7.933,1,0.0535,0.00929,1.47e-05,0.0783,0.718,123.478,571173,4
